Title,Distributor,ReleaseDateUS,Budget,OpeningWeekendNorthAmerica,NorthAmerica,OtherTerritories,Worldwide,Rotten Tomatoesin%,Metacritic,CinemaScore,CinemaScore,MainCharacter,,ROI
Ant-Man,Walt Disney Studios Motion Pictures,7/17/2015 0:00,130000000,57225526,180202163,339109802,519311965,76,66,A,A,Ant-Man,,3.994707423
Fantastic Four,20th Century Fox,8/7/2015 0:00,120000000,25685737,56117548,111765333,167882881,83,64,A,A,Fantastic Four,,1.399024008
Deadpool,20th Century Fox,2/12/2016 0:00,58000000,132434600,363070709,420042270,783112979,9,27,C,C-,Deadpool,,13.50194791
Captain America: Civil War,Walt Disney Studios Motion Pictures,5/6/2016 0:00,250000000,179139142,408084349,745220146,1153304495,85,65,A,A,Captain America,,4.61321798
X-Men: Apocalypse,20th Century Fox,5/27/2016 0:00,178000000,65769562,155442489,388491616,543934105,90,75,A,A,X-Men/Wolverine,,3.055809579
Doctor Strange,Walt Disney Studios Motion Pictures,11/4/2016 0:00,165000000,85058311,232641920,445076475,677718395,47,52,A,A-,Doctor Strange,,4.107384212
Logan,20th Century Fox,3/3/2017 0:00,97000000,88411916,226277068,390518532,616795600,89,72,A,A,X-Men/Wolverine,,6.358717526
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,5/5/2017 0:00,200000000,146510104,389813101,473942950,863756051,94,77,A,A-,Guardians of the Galaxy,,4.318780255
Spider-Man: Homecoming,Sony Pictures,7/7/2017 0:00,175000000,117027503,334201140,545965784,880166924,85,67,A,A,Spider-Man,,5.02952528
Inhumans,IMAX Entertainment,9/1/2017 0:00,0,1500000,1521787,1330495,2852282,92,73,A,A,Other/Team,,#DIV/0!
Thor: Ragnarok,Walt Disney Studios Motion Pictures,11/3/2017 0:00,180000000,122744989,315058289,538918837,853977126,93,74,A,A,Thor,,4.744317367
Black Panther,Walt Disney Studios Motion Pictures,2/16/2018 0:00,200000000,202003951,700059566,646853595,1346913161,96,88,A,A+,Black Panther,,6.734565805
Avengers: Infinity War,Walt Disney Studios Motion Pictures,4/27/2018 0:00,316000000,257698183,678815482,1369544272,2048359754,85,68,A,A,Avengers,,6.48215112
Deadpool 2,20th Century Fox,5/18/2018 0:00,110000000,125507153,324591735,460455185,785046920,84,66,A,A,Deadpool,,7.136790182
